ID,speaker,text
A-50,interviewee,"For example, depending on how you write it, you can give it a very low rating, but on the other hand, you can also give it a very high rating. In that sense, I got the impression that it is easy to make a difference because it is not quantified."
A-51,interviewer,A free column?
A-52,interviewee,"Yes, that's right."
A-53,interviewer,Is it a problem that the differences become too large?
A-54,interviewee,That's right. That's what I thought a little.
A-55,interviewer,"I understand. As for the evaluation here, the good points are that the items are easy to choose and easy to understand. On the other hand, there are differences among the free comments. On the other hand, there is a concern that the free text may create too much difference. On the other hand, he said that he was concerned that the free-texting would create too much difference. In the national evaluation that I mentioned earlier, he said that he did not know where to put it, but on the other hand, he could see what kind of indicators were being emphasized. What kind of difference do you think these two evaluations will make for you as a teacher?"
A-56,interviewee,"By doing these two, you mean?"
A-57,interviewer,These two pieces.
A-58,interviewee,"What difference?　Yes, two."
A-59,interviewer,"Or rather, what kind of difference do you think will be created in the world using these two, in the world using these two?"
A-60,interviewee,"It's not a difference, but by evaluating the two, the evaluation of the resident will be."
A-61,interviewer,"So, first of all, what is the difference between this evaluation and this evaluation from your point of view?"
A-62,interviewee,What was the difference in the clarity of the content of the items for me?
A-63,interviewer,"I see. So, I'd like to ask you, for example, what kind of difference do you think there will be between programs that use this one and those that use this one? By using different evaluation tables."
A-64,interviewee,"By using different evaluation tables?　There are differences in the ease and difficulty of understanding the contents (between global and local rubric). I'm not sure, but I think there are some things that are not being evaluated properly because people don't actually understand the contents and just give them a random rating."
A-65,interviewer,You can see that here.
A-66,interviewee,"Yes, that's right."
A-67,interviewer,"If you are not evaluated in this way, does the result change in any way? Or rather, does it change anything?"
A-68,interviewee,"Is this feedback given to the residents? If so, I think there is a possibility that different things are actually fed back to them. I think there is a difference."
A-69,interviewer,"I see. If these evaluations were to get better in the future, what would you like to see as a teacher? What do you think would be good?"
A-70,interviewee,"What would be good? I think this evaluation chart is for the entire evaluation, but I'm sure there is also data on what you would like to see done in each department. I don't know if that's good or bad, but I think it would be good if there was an evaluation chart for each department to see what they want us to do. I think it would be good if each department had its own evaluation chart. However, that would make it difficult to know if the entire department is being evaluated. I think it would be good to have such an evaluation."
A-71,interviewer,"Thank you very much. Now, you mentioned that you have been on the receiving end of evaluations as a teacher, and that you were on the receiving end of evaluations when you were a student. This is the first time I've been involved in evaluation for about a year and nine months, and although it's difficult to understand the national evaluation here, it clearly shows what kind of indicators are expected. On the other hand, in this evaluation, it's easy to understand where to classify and it's easy to write free comments, but I'm worried that it will make too much difference. The difference is that if the evaluation is not easy to understand and is given in a random manner, the feedback given to the resident may be different from what was expected. In the future, I think it would be good if we could create evaluations that cover what we want each department to do. Is there anything that I have said that is wrong, or anything that you would like me to forget about?"
A-72,interviewee,I'm fine.
A-73,interviewer,Is there anything else you want to say?
A-74,interviewee,No problem.
A-75,interviewee,
