ID,speaker,text
B-77,interviewee,You mean someone was transcribing all the evaluations for you?
B-78,interviewer,"The paper ones were rewritten into Excel, and that's how it happened. So, that sense of despair was one of the starting points for me to do something about this, this kind of evaluation."
B-79,interviewee,"Is this one disappearing, too, the one you're writing now?"
B-80,interviewer,That's going to disappear.
B-81,interviewee,It disappears. I was working very hard on it.
B-82,interviewer,This one won't disappear.
B-83,interviewee,I was writing this.
B-84,interviewer,"I was looking at it, but it disappears. What impressed me a lot this year was that everyone worked very hard on their writing, and they all wrote their free comments very well. This year, I was quite impressed by how hard they wrote and how well they wrote their free comments."
B-85,interviewee,"It's difficult. It would be easier if I could access them with this, but as I said earlier, if I could type them in an Excel file like a family log, it would be easier if I could keep them. I think it's possible to do that nowadays, but I don't know if it's possible."
B-86,interviewer,"There are still some left, though. But there's too much for me to keep track of."
B-87,interviewee,That makes it hard for me. I guess that's what happens when you're evaluated by various teachers.
B-88,interviewer,"The children who are going around a lot right now are being evaluated at a very high rate, and they are being evaluated by the supervisors, by the head nurses, by the patients, and it's pretty good data, but sometimes there are great comments, like there is no growth potential, and I can't tell them directly."
B-89,interviewee,That's true.
B-90,interviewer,"But when I look at them, I think that if we do this properly, it will be very good for both the supervisors and the residents, as you said."
B-91,interviewee,"I'm wondering if it would make a difference if we were to put the evaluation sheets on a single piece of paper with everyone discussing them, or if we were to give an average score to the sheets that everyone put together. If I remember correctly, in the general medicine department, we used to write down one score while discussing with everyone. In that case, while we were discussing, I thought this girl was really good, but other doctors thought she was not good enough, and I wondered if my evaluation was too lenient. It's an opportunity to get feedback. However, in a sense, it can be good or bad, but it is better for each person to give their own evaluation, so as not to discourage the minority who say, ""No, actually, there were some good points. I think it's easier to pick up good opinions if you give them to each individual, but in the end, I think it's better to give them an average score in order to keep the quality in the eyes of everyone."
B-92,interviewer,"Actually, this is the cutting edge of what I'm studying right now, and the evaluation from Shimotome Sensei and the evaluation from Motoki Sensei have different meanings. It's not as if you can just average them out."
B-93,interviewee,That's true. It's difficult.
B-94,interviewer,"On the other hand, it is necessary to average them in order to make judgments, so how can I get the best out of them?"
B-95,interviewee,"But when I'm giving out evaluation forms, I often wonder if the way I'm giving out evaluations is good enough."
B-96,interviewer,"I think it's important to get feedback on that. I'm using Excel, or rather a spreadsheet, for this as well, just like the Familog. But the data is so huge that it's not so much that it's hard to compile, but rather that we can't all read it afterwards, because it's too much. How to put it all together is a theme for the future, though. But I am grateful for the time."
B-97,interviewee,"But I think. I don't have confidence in teaching, so I always pretend that I'm teaching, but I'm putting it on as if I'm getting my own evaluation, which I'm not. When I don't get feedback on myself, I get a little anxious. I'm always wondering if I'm doing the right thing. When I'm instructing a resident, and there's a more senior doctor right behind me, it's hard to do, but later, for example, when I tell him that he should have said something like this, or that I instructed him in this way, he can say something like, ""Oh, that's good. When I told him that I gave him this kind of instruction, he would say, ""Oh, that's good."" If he said something like that, I would understand that it was good. What happened to that?　I've been thinking about it up to this point, but now I've asked the resident to think about it this way, and he said, ""Let's do it this way. They were like, ""That's good, that's good, that's good, that's good, let me do it, let me do it,"" and I was able to get feedback from them that it was okay to let the resident do this much, and that it was okay that I judged that it would not be a big deal if it went this far. I was able to get feedback from them. I'm grateful for that kind of feedback, but if I were asked to turn it into an evaluation form, it might be a little difficult, but it's quite fun, and I'm grateful for it. That's how I feel."
B-98,interviewer,"Thank you very much, professor."
B-99,interviewee,
