ID,speaker,text
C-40,interviewer,I see. I see. Thank you very much. Is there anything else you would like to comment on regarding this evaluation form?
C-41,interviewee,"I don't really have anything to add, because I don't have any complaints, but I have the impression that this is what they are doing."
C-42,interviewer,Thank you very much. There is another evaluation sheet that I have asked the teacher to prepare. Please give us your general thoughts and comments on this one.
C-43,interviewee,"I haven't had many questions or complaints about this one. It's a column where you can honestly check whether you have or have not met your goals, so it's easier for me to evaluate. That's about it."
C-44,interviewer,"As I said before, what are the good points of this evaluation chart?"
C-45,interviewee,"As I mentioned earlier, the attainment goal is indicated concretely, and since I can do this, I get a check here, or I get a check based on whether I did or did not do this aspect, so I think it is good that it is not so much influenced by the evaluator's thoughts, the evaluator's feeling, or individual differences of the evaluator."
C-46,interviewer,"I see. On the other hand, is there anything that is troubling you, or anything that you would like to see done better?"
C-47,interviewee,"What I find annoying is that this evaluation form is mostly about how you treat patients and their families, for example, how you use your words, whether you can accept the patient's thoughts, and so on. For example, some patients talk a lot, some don't talk at all, some are bedridden, some talk a lot with their families, and some rarely talk at all. Therefore, I feel that the evaluation of patients' families is quite unfair or unequal."
C-48,interviewer,I see. Thank you very much. Do you have any further comments on this evaluation sheet itself?
C-49,interviewee,"I don't really have any. In the latter part, it is always difficult for me to know what to write. I always wondered whether I should write about techniques or presentations or PowerPoint presentations, etc. In the end, I couldn't come up with anything specific. In the end, I don't really have a specific topic in mind, so that's a bit of a problem for me."
C-50,interviewer,"I see. Thank you very much. Now, when you compare these two evaluation charts, what do you think are the differences between them?"
C-51,interviewee,"I'm not really aware of the differences, but I think that the first, second, and third evaluation charts are more about skills, such as literature search skills, presentation skills, teamwork, and so on. It is a little strange to call it a medical point, but I feel that there are a lot of things like knowledge and skills. Knowledge, skills, and the person's response. I have the impression that this side is more specialized in communication and so on."
C-52,interviewer,"I see, I see. Do you think there is any difference in the impact that these differences have on the evaluation charts?"
C-53,interviewee,"I believe that both are important, so if we focus too much on communication, we will not be able to evaluate things like medical literature search or logical thinking, and they will be buried. What was your question again?"
C-54,interviewer,Is there any difference in the impact of these two evaluation charts?
C-55,interviewee,"Since it's an ex-post evaluation, I don't think it will have much of an impact on the residents themselves, but I do think it will change the way the instructors, or rather the evaluators, look at them."
C-56,interviewer,"I see. In concrete terms, what kind of differences do you think will appear?"
C-57,interviewee,"For example, people who talk a lot, and people who report and communicate well are given a good impression. I think it would not be good for the evaluator to focus only on communication, or on medical literature or logical thinking skills, even though the training has been well organized. If we evaluate them from that perspective, we may end up with a slightly biased education or training."
C-58,interviewer,I see. Are there any further comments you would like to make after comparing the two?
C-59,interviewee,"I don't have anything in particular. The evaluation chart here is more like a 4-point scale, like level 1 or 2, but this one is more like a yes-or-no scale, so it's different."
C-60,interviewer,Do you think there is any difference in the impact between the 4-point evaluation and this method?
C-61,interviewee,"To be honest, I don't think there's much of a difference in impact, but with the 4-point scale, I tend to choose the middle, so to a certain extent I can give a safe evaluation without making it too clear if it's good or bad. However, if a third party who doesn't know the resident at all sees the evaluation, they may not have a good impression of the resident. If a third party were to look at the evaluation, they might not have a good impression of the resident."
C-62,interviewer,Does that mean that the residents themselves are not involved?
C-63,interviewee,"Yes, it does. If a complete stranger, who is far away from the resident himself, sees it."
C-64,interviewer,"No, you mean that there is a difference between being unable to do something and being a real resident?"
C-65,interviewee,"No, I don't think that's the case, but I do think that if someone checks that you can't do something, there is a reason why you can't do it, so I don't really think that you are distant."
C-66,interviewer,"I see. Thank you very much. In the future, when you make evaluations, is there anything you would like to see in future evaluations?"
C-67,interviewee,"I think it would be better if the results of the feedback could be conveyed to the residents themselves in some way, so that they could learn about the feedback and take care of themselves in the future."
C-68,interviewer,"Thank you very much. Then, as a general flow, first you share your position, and then your thoughts on the evaluation so far. You could offer a perspective from the eyes of others. Regarding this one, there are four levels overall, and they are divided into 1 and 2, which are given relatively intuitively, and 3, which is given based on what you have done or not done. I think the focus is on technology, and it's clear what you can and can't do here. Also, he said that there is not much room for intuition. He also said that it was difficult to write free descriptions. As for future evaluations, I think he told us that the feedback would be properly given to the residents. Looking back, is there anything you wish you could have left out or anything you wish you could have said?"
C-69,interviewee,"No, not really."
C-70,interviewer,"Yes, thank you very much."
